# Seeds Planted,Survivorship Wk5,Average # Flowers,Average Height (mm),Average # Pods,Total Biomass
HIGH (10),60,3.5,309,3.857142857,5.71
LOW (2),50,22,340,41,5.46
MED (5),80,6.75,340,14.5,3.5
HIGH (10),60,2,287,11.66666667,9.81
LOW (2),100,10.5,295,18,9.22
MED (5),100,2.4,294,2.8,16.59
HIGH (10),90,2.571428571,223.3333333,4.8,28.49
LOW (2),50,11,356,22,6.88
MED (5),100,3.8,266.8,14,14.89
HIGH (10),60,1,203.1666667,4.833333333,10.73
LOW (2),100,4,550,3.5,
MED (5),100,1.8,330.2,5,
HIGH (10),60,0.5,260,3.428571429,
LOW (2),50,8,215.9,4,
MED (5),80,0,342.9,3,
HIGH (10),100,0.2,254,2.125,
LOW (2),100,24.5,350,6.5,
MED (5),100,10.2,330,2.4,
HIGH (10),60,8.571428571,320,1,
LOW (2),100,15,352,9,
MED (5),100,8.8,355,3.8,
HIGH (10),90,5.888888889,371,0.666666667,
LOW (2),100,10,380,1.5,14.09
MED (5),100,3.6,352,13.4,14.85
HIGH (10),70,0.285714286,192.8571429,5.375,4.93
LOW (2),50,1,333,25,4.75
MED (5),100,3.2,231.4,12.6,14.37
HIGH (10),90,5.888888889,250.1111111,15,9.8
LOW (2),100,16,410,25.5,22.08
MED (5),100,4.4,294,14.4,20
HIGH (10),90,0.111111111,167.7777778,10.8,13.12
LOW (2),100,2.5,122,11.5,5.87
MED (5),100,6.2,58.8,12.8,8.54
HIGH (10),80,7.5,31.125,7.555555556,8.59
LOW (2),50,0.5,320,5,1.58
MED (5),100,4.2,305,27,18.94
HIGH (10),100,3,248.8,12.3,25
LOW (2),100,10,580,14.5,9.99
MED (5),100,8,1455,9,24.2
HIGH (10),70,0.571428571,1420,3,13.64
LOW (2),0,,0,,0
MED (5),100,12,329,5.4,15.23
HIGH (10),60,8.833333333,258.33,3.8,10.34
LOW (2),100,9,500,3.5,10.65
MED (5),80,4.5,380,3,11.36
HIGH (10),80,3.75,410,3,19.6
LOW (2),100,11.5,370,19,11.05
MED (5),60,3.333333333,277,8,13.99
HIGH (10),100,2.6,197,1.3,11.9
LOW (2),100,9.5,262.5,6,4.47
MED (5),100,8.4,318,2.6,13.2
HIGH (10),80,4.571428571,140,0.555555556,4.264
LOW (2),100,11,330,8.5,6.224
MED (5),100,2.4,381,2.2,10.456
HIGH (10),100,5.2,,0.9,8.494
LOW (2),100,8.5,260,4.5,4.85
MED (5),100,6,216,2.4,7.25
HIGH (10),90,5.333333333,208,4.333333333,23.8
LOW (2),100,13.5,336,8.5,4.23
MED (5),100,6,292,2,9.218
HIGH (10),80,9.25,281.1,1.125,5.33
LOW (2),50,16,532,30,5.15
MED (5),40,12.5,291,32.5,6.65
HIGH (10),60,9.5,272,12.5,18.4
LOW (2),50,18,215,27,5.72
MED (5),100,2.8,360,11.4,2.15
HIGH (10),90,6,255,3.555555556,5.71
LOW (2),50,33,370,20,5.47
MED (5),80,10.25,314,6.5,6.91
HIGH (10),80,2,389,1.875,16.64
LOW (2),100,1,322,20.5,2.41
MED (5),40,2.5,423,22.5,9.47
HIGH (10),100,0.6,32,5.2,4.23
LOW (2),50,40,470,15,0.132
MED (5),60,4.666666667,296.67,3.666666667,0.154
HIGH (10),40,6.714285714,225,0,5.88
LOW (2),100,9.5,247.65,25.5,0.3
MED (5),60,13.66666667,245.62,0,0.37
HIGH (10),0,6.4,133.35,#DIV/0!,0.09
LOW (2),100,4,406.4,3.5,5.228
MED (5),100,1.4,269.2,2.2,9.975
HIGH (10),80,3.333333333,223,0.666666667,11.246
LOW (2),50,18,330,50,4.78
MED (5),80,11.5,302.5,22,4.162
HIGH (10),90,7.3,214,4.2,11.28
LOW (2),50,3,305,13,2.57
MED (5),60,1.666666667,216.33,11.66666667,3.53
HIGH (10),90,2.571428571,201.89,4.714285714,9.6
LOW (2),100,0.5,122.5,2.5,2.24
MED (5),80,0.75,120,3.75,3.79
HIGH (10),80,0.75,121.5,4,11.92
LOW (2),100,1,120,4,0.31
MED (5),100,0.2,182,3,4.45
HIGH (10),100,0.9,149.5,2.5,3.3
LOW (2),100,1,390,1,3.44
MED (5),100,0.6,354,1.4,11.34
HIGH (10),60,0.2,290,2.2,7.14
LOW (2),100,0.5,190,6,1.99
MED (5),100,0.6,118,4,2.48
HIGH (10),80,0.857142857,143.75,7.857142857,2.71
LOW (2),100,2.5,220,4,4.52
MED (5),100,2,210,6.4,12.11
HIGH (10),90,1.444444444,290,4.888888889,21.11
LOW (2),100,8.5,355.5,3.5,7.9
MED (5),60,9.666666667,406.6,3.333333333,9.9
HIGH (10),60,8,220,0.2,8.77
LOW (2),100,1.5,355,14.5,13.37
MED (5),40,15,390,5,6.68
HIGH (10),70,7.428571429,281,1.857142857,70.16
LOW (2),50,3,360,6,11.01
MED (5),60,3.6,251.6,2.333333333,15.18
HIGH (10),70,1,190,3.125,27.35
LOW (2),100,9.5,360,11.5,8.57
MED (5),100,1.4,266,5,5.23
HIGH (10),70,3.25,205.71,3.333333333,5.77
LOW (2),100,4.5,266.7,2.5,8.38
MED (5),80,4.25,355.6,9.75,12.61
HIGH (10),100,0.9,266.7,4,20.14
LOW (2),50,0,355.6,0,3.35
MED (5),80,0.333333333,306.1,0,24.74
HIGH (10),90,4.375,292.9,0,12.85
LOW (2),100,4,298.6,1,5.1
MED (5),60,1.666666667,262.4,2.25,10.1
HIGH (10),90,1.111111111,248.9,0,11.5
LOW (2),100,2,52,13,8.6
MED (5),80,0,18.98,2.5,2.48
HIGH (10),60,1.166666667,32.25,1,14.35
LOW (2),100,2,196,8,4.66
MED (5),100,0,233.33,2.8,5
HIGH (10),90,0.444444444,251.25,3.777777778,12.45
LOW (2),100,2.5,247.5,4,16.3
MED (5),100,2,360,7.25,22.57
HIGH (10),90,1.75,352.2,1.3,23.36
LOW (2),50,0,145,0,1.34
MED (5),0,6.75,0,0,0
HIGH (10),10,4,200,0,0.76
LOW (2),100,21,331,23,9.59
MED (5),80,21.75,230,10.5,6.01
HIGH (10),50,9.375,176.4,4.6,4.49
LOW (2),100,0.5,382.5,14,7.63
MED (5),100,5,266.6,7,12.13
HIGH (10),80,3.5,265.6,5.375,11.99
LOW (2),50,0,120,2,1.41
MED (5),100,1.4,160,1.8,3.61
HIGH (10),80,1,108.7,1.75,3.29
LOW (2),0,,0,,170.49
MED (5),100,0.4,198,0.6,160.59
HIGH (10),80,0.428571429,152.5,1,134.63
LOW (2),100,0,188,0,1.84
MED (5),100,1,205.4,1.4,5.11
HIGH (10),80,0.444444444,162.4,0.714285714,9.32
LOW (2),100,1,203.2,1,233.88
MED (5),100,1.5,160,0.5,189.61
HIGH (10),50,0.857142857,132.1,0.2,187.91
LOW (2),100,0.5,192,2,
MED (5),80,0.75,160,1,
HIGH (10),80,0.333333333,170.6,1.25,
LOW (2),100,2.5,165.1,14.5,134.6
MED (5),100,1.25,147.94,0.75,135.1
HIGH (10),90,1,186.41,0,109.8
LOW (2),0,1,176.5,0,1.88
MED (5),0,0.333333333,158.33,0.333333333,3.65
HIGH (10),0,0.571428571,123.33,0.125,5.68
LOW (2),0,4,180,3.5,2.76
MED (5),0,2.5,170,4.5,3.88
HIGH (10),0,1.888888889,120,3,5.7
LOW (2),0,4,,4,7.47
MED (5),0,2.6,,4,9.31
HIGH (10),0,1.428571429,,2.333333333,8.73
LOW (2),0,2,603.25,2,4.19
MED (5),0,1.75,407.63,2,2.19
HIGH (10),0,0.714285714,500.38,1,47.6
LOW (2),0,10.5,158.9,22.5,2.01
MED (5),0,4.2,276,11.2,3.35
HIGH (10),0,5.444444444,200,5,5.98
LOW (2),0,16.5,295,8,13.45
MED (5),0,14,300,0.25,2.06
HIGH (10),0,9,162,0.285714286,4.67
LOW (2),0,6.5,315,12,1.47
MED (5),0,6.8,215.27,4.5,4.37
HIGH (10),0,3.75,174.2,0.571428571,8.58
LOW (2),100,0,210,4.5,12.1
MED (5),100,1.75,232,0.8,22.65
HIGH (10),60,0,295,1.857142857,6.26
LOW (2),100,12.5,355,1,9.04
MED (5),100,1,294,2.6,12.42
HIGH (10),80,1.5,250,2.25,13.62
LOW (2),100,4.5,370,5,12.16
MED (5),100,0.8,224,0.6,13.38
HIGH (10),90,0.222222222,210,1.625,10.99
LOW (2),100,10,290,2,7.99
MED (5),100,1.5,247,2.4,7.37
HIGH (10),80,0.285714286,175.6,1.8,11.58
LOW (2),0,17,0,,0
MED (5),80,3,307.25,12.5,3.37
HIGH (10),80,2.875,257.9,8,1.44
LOW (2),0,4.5,0,0,0
MED (5),60,10.66666667,313.3,17,5.7
HIGH (10),0,2.833333333,0,0,0
LOW (2),100,19,30,15,6.123
MED (5),0,9,0,0.666666667,0
HIGH (10),20,6.375,25.5,1.75,2.8
LOW (2),100,21.5,500,21.5,5.7
MED (5),20,3.4,270,14,2.546
HIGH (10),10,1.75,240,6.5,2.888
LOW (2),0,,,,
MED (5),0,,,,
HIGH (10),0,,,,
LOW (2),50,27,440,4,0.206
MED (5),60,6.333333333,353,11,13
HIGH (10),70,1.5,244,7.428571429,7.704
LOW (2),50,40,355.6,51,7.084
MED (5),60,10,320,15.66666667,8.56
HIGH (10),60,8,269,8.25,16.476
LOW (2),100,8.5,320,32,4.952
MED (5),100,3,314,14.4,5.124
HIGH (10),30,1.666666667,185,2,2.958
LOW (2),100,7.5,275,10.5,4.642
MED (5),100,0.6,269,13,5.882
HIGH (10),100,0.111111111,212.5,5.444444444,19.706
LOW (2),0,27,295.3,4,10.34
MED (5),0,3,275.6,4,13.03
HIGH (10),0,2.625,222.5,3.7,7.94
LOW (2),0,8,266.7,10,9.42
MED (5),0,4.666666667,235.37,7.333333333,18.45
HIGH (10),0,1.25,218.47,10.77777778,14.39
LOW (2),0,31,500,10,15.04
MED (5),0,6.333333333,283,5.333333333,1.74
HIGH (10),0,1,211.6,2.25,19.05
LOW (2),0,12,368,38,10.53
MED (5),0,3.25,275.2,12,10.71
HIGH (10),0,0.666666667,266.6,19.83333333,16.01
LOW (2),100,0,257.5,4.5,1.495
MED (5),60,0,240.67,14,2.54
HIGH (10),50,0,229.6,6.8,1.614
LOW (2),100,0,330,12.5,7.53
MED (5),80,0,283,1.75,4.45
HIGH (10),20,0,220,0.5,4
LOW (2),100,5.5,315,5.5,3.57
MED (5),80,2.75,212,5.75,9.52
HIGH (10),80,2.625,217,3,10.59
LOW (2),100,0,210,2,5.54
MED (5),60,0,320,0,8.67
HIGH (10),50,0,300,0.6,10.51
LOW (2),100,1.5,275,1,36.54
MED (5),100,0.75,219,1.4,20.28
HIGH (10),60,1.333333333,220.8,2.6,13.42
LOW (2),150,6.5,278.3,1,10.74
MED (5),100,3.8,238,1.666666667,17.35
HIGH (10),80,4.625,220.62,1.428571429,17.69
LOW (2),100,4.5,225,6,11.9
MED (5),80,1.75,289.25,10,10.57
HIGH (10),60,2.666666667,290.85,3,11.05
LOW (2),100,14,353,0.5,12.38
MED (5),100,18.5,259,3,13.54
HIGH (10),90,5.25,228.8,1.25,17.03
LOW (2),100,6.5,285.5,4,10.82
MED (5),80,0,218.25,4.75,8.6
HIGH (10),100,0.166666667,189.9,3.857142857,14.78
LOW (2),100,10.5,372.5,22,3.74
MED (5),80,1.75,196.875,3.5,0.304
HIGH (10),80,3.125,249,3.75,1.204
LOW (2),100,12,325,3,2.304
MED (5),100,7.4,228,4,3.096
HIGH (10),100,4,269,3,12.038
LOW (2),50,,50.8,,0.104
MED (5),40,19.5,360,6,5.33
HIGH (10),80,3.625,238.75,2.25,2.27
LOW (2),100,13.5,260,16,0.59
MED (5),80,13.25,220,8,0.92
HIGH (10),40,5.5,160,5.6,1.9
LOW (2),100,12.5,237.5,19,2.25
MED (5),40,11,240,11.75,0.71
HIGH (10),30,11.66666667,215,2,0.87
LOW (2),100,3.5,85,9.5,3.21
MED (5),20,12.5,95,3.75,0.2
HIGH (10),40,7,85,2,1.2
LOW (2),50,16,320,0.5,0.48
MED (5),40,9,215,0,0.83
HIGH (10),60,7.857142857,212,1.625,0.53
